City/Town,Ward,Pct,"Paulo C. Deoliveira","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,291,0,60,351
Chilmark,-,1,805,1,139,945
Edgartown,-,1,"2,336",6,594,"2,936"
Gosnold,-,1,46,0,24,70
"Oak Bluffs",-,1,"2,500",11,619,"3,130"
Tisbury,-,1,"2,181",2,517,"2,700"
"W. Tisbury",-,1,"1,827",9,369,"2,205"
TOTALS,,,"9,986",29,"2,322","12,337"
