City/Town,Ward,Pct,"Jon Santiago","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,2,"1,390",23,415,"1,828"
Boston,4,4,"1,024",13,130,"1,167"
Boston,4,5,709,5,138,852
Boston,4,7,595,3,81,679
Boston,5,2,804,4,108,916
Boston,5,10,781,17,150,948
Boston,8,1,605,5,83,693
Boston,8,2,"1,174",13,201,"1,388"
Boston,8,3,466,11,72,549
Boston,8,4,281,4,34,319
Boston,9,1,886,10,160,"1,056"
Boston,9,2,"1,202",9,170,"1,381"
Boston,9,3,"1,324",8,164,"1,496"
TOTALS,,,"11,241",125,"1,906","13,272"
