City/Town,Ward,Pct,"James K. Hawkins","Julie A. Hall","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,1,A,300,291,5,0,596
Attleboro,1,B,277,293,1,0,571
Attleboro,2,A,461,452,0,13,926
Attleboro,2,B,427,437,0,4,868
Attleboro,3,A,393,310,0,2,705
Attleboro,4,A,253,207,0,0,460
Attleboro,4,B,511,570,0,13,"1,094"
Attleboro,5,A,176,149,0,2,327
Attleboro,5,B,416,296,3,0,715
Attleboro,6,A,306,301,0,3,610
Attleboro,6,B,444,352,0,4,800
TOTALS,,,"3,964","3,658",9,41,"7,672"
