City/Town,Ward,Pct,"John C. Velis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Westfield,1,A,"1,187",10,403,"1,600"
Westfield,1,B,"1,112",5,294,"1,411"
Westfield,2,A,555,6,147,708
Westfield,2,B,837,0,215,"1,052"
Westfield,3,A,583,3,122,708
Westfield,3,B,"1,029",4,239,"1,272"
Westfield,4,A,479,5,126,610
Westfield,4,B,"1,412",17,364,"1,793"
Westfield,5,A,"1,334",14,353,"1,701"
Westfield,5,B,"1,266",26,349,"1,641"
Westfield,6,A,"1,073",5,367,"1,445"
Westfield,6,B,867,6,272,"1,145"
TOTALS,,,"11,734",101,"3,251","15,086"
