City/Town,Ward,Pct,"Thomas A. Golden, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,2,"1,282",11,374,"1,667"
Chelmsford,-,3,"1,319",17,516,"1,852"
Chelmsford,-,6,"1,479",8,525,"2,012"
Lowell,5,1,662,2,150,814
Lowell,5,2,482,0,102,584
Lowell,5,3,683,0,161,844
Lowell,6,1,820,0,222,"1,042"
Lowell,6,2,956,0,208,"1,164"
Lowell,6,3,784,0,173,957
Lowell,9,1,580,0,123,703
Lowell,9,2,835,0,188,"1,023"
Lowell,9,3,656,0,137,793
TOTALS,,,"10,538",38,"2,879","13,455"
