City/Town,Ward,Pct,"Thomas M. Stanley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lincoln,-,1,"1,761",10,433,"2,204"
Lincoln,-,2,"1,053",16,283,"1,352"
Waltham,1,1,"1,177",14,392,"1,583"
Waltham,1,2,"1,230",17,444,"1,691"
Waltham,2,1,"1,206",29,362,"1,597"
Waltham,2,2,933,6,183,"1,122"
Waltham,3,1,"1,260",16,467,"1,743"
Waltham,3,2,"1,184",21,379,"1,584"
Waltham,4,1,"1,281",16,384,"1,681"
Waltham,5,2,991,7,208,"1,206"
Waltham,6,1,"1,048",11,257,"1,316"
Waltham,7,1,"1,069",18,340,"1,427"
TOTALS,,,"14,193",181,"4,132","18,506"
