City/Town,Ward,Pct,"Joseph F. Wagner","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,1,A,887,24,184,"1,095"
Chicopee,1,B,"1,128",37,241,"1,406"
Chicopee,2,B,935,26,210,"1,171"
Chicopee,3,B,620,18,116,754
Chicopee,4,B,741,13,164,918
Chicopee,5,B,800,19,169,988
Chicopee,6,AN,232,11,58,301
Chicopee,6,AS,518,15,136,669
Chicopee,7,A,590,11,117,718
Chicopee,7,B,691,16,113,820
Chicopee,8,A,906,22,210,"1,138"
Chicopee,8,B,792,17,177,986
Chicopee,9,A,836,23,197,"1,056"
Chicopee,9,B,"1,114",38,270,"1,422"
TOTALS,,,"10,790",290,"2,362","13,442"
