City/Town,Ward,Pct,"Peter J. Durant","All Others",Blanks,"Total Votes Cast"
,,,Republican
Charlton,-,1,"1,134",16,258,"1,408"
Charlton,-,2,"1,233",22,280,"1,535"
Charlton,-,3,"1,202",28,266,"1,496"
Dudley,-,1,"1,322",6,371,"1,699"
Dudley,-,2,"1,093",9,260,"1,362"
Dudley,-,3,992,23,238,"1,253"
Southbridge,-,1,661,33,260,954
Southbridge,-,2,572,24,196,792
Southbridge,-,3,736,36,219,991
Southbridge,-,4,"1,005",25,310,"1,340"
Southbridge,-,5,428,34,188,650
Spencer,-,1,893,8,221,"1,122"
TOTALS,,,"11,271",264,"3,067","14,602"
