City/Town,Ward,Pct,"Mary S. Keefe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,3,4,506,13,71,590
Worcester,4,1,504,7,103,614
Worcester,4,2,652,26,211,889
Worcester,4,3,501,9,48,558
Worcester,4,4,714,18,198,930
Worcester,4,5,940,12,252,"1,204"
Worcester,5,3,"1,108",24,349,"1,481"
Worcester,10,2,579,5,64,648
Worcester,10,3,465,5,50,520
Worcester,10,4,408,6,54,468
Worcester,10,5,435,9,37,481
TOTALS,,,"6,812",134,"1,437","8,383"
