City/Town,Ward,Pct,"Joseph W. Mcgonagle, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Everett,1,1,611,14,151,776
Everett,1,2,480,20,135,635
Everett,2,1,670,16,158,844
Everett,2,2,569,23,136,728
Everett,3,1,805,11,190,"1,006"
Everett,3,2,680,16,195,891
Everett,4,1,836,15,176,"1,027"
Everett,4,2,668,16,150,834
Everett,5,1,707,15,147,869
Everett,5,2,717,21,129,867
Everett,6,1,782,17,153,952
Everett,6,2,777,11,146,934
TOTALS,,,"8,302",195,"1,866","10,363"
