City/Town,Ward,Pct,"Rady Mom","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,2,1,378,0,77,455
Lowell,2,2,480,0,160,640
Lowell,3,1,550,0,182,732
Lowell,3,2,410,0,167,577
Lowell,3,3,425,0,158,583
Lowell,4,1,589,0,278,867
Lowell,7,1,422,0,148,570
Lowell,7,2,483,0,155,638
Lowell,7,3,273,0,128,401
Lowell,8,1,565,0,175,740
Lowell,8,2,530,0,229,759
Lowell,8,3,767,509,78,"1,354"
TOTALS,,,"5,872",509,"1,935","8,316"
