City/Town,Ward,Pct,"William M. Straus","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Fairhaven,-,1,965,21,304,"1,290"
Fairhaven,-,2,899,18,263,"1,180"
Fairhaven,-,3,708,14,207,929
Fairhaven,-,4,883,20,262,"1,165"
Fairhaven,-,5,929,19,371,"1,319"
Fairhaven,-,6,869,26,339,"1,234"
Marion,-,1,"2,036",13,763,"2,812"
Mattapoisett,-,1,"2,770",43,984,"3,797"
"New Bedford",3,A,276,5,49,330
"New Bedford",4,D,509,8,93,610
"New Bedford",4,E,470,9,118,597
Rochester,-,1,"1,877",17,926,"2,820"
TOTALS,,,"13,191",213,"4,679","18,083"
