City/Town,Ward,Pct,"Paul K. Frost","Terry Burke Dotson","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Auburn,-,1,"1,074",503,4,54,"1,635"
Auburn,-,2,"1,080",487,3,37,"1,607"
Auburn,-,3,"1,077",498,3,57,"1,635"
Auburn,-,4,928,480,2,41,"1,451"
Auburn,-,5,934,425,5,52,"1,416"
Charlton,-,4,888,453,1,60,"1,402"
Millbury,-,1,798,532,4,67,"1,401"
Millbury,-,2,"1,102",558,1,80,"1,741"
Millbury,-,3,839,488,2,73,"1,402"
Millbury,-,4,780,530,0,50,"1,360"
Oxford,-,2,833,455,0,46,"1,334"
Oxford,-,3,889,515,5,53,"1,462"
TOTALS,,,"11,222","5,924",30,670,"17,846"
