City/Town,Ward,Pct,"Peter L. Capano","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,4,3,583,9,94,686
Lynn,5,1,780,14,141,935
Lynn,5,4,808,25,167,"1,000"
Lynn,6,1,538,10,96,644
Lynn,6,2,340,16,57,413
Lynn,6,3,530,18,82,630
Lynn,6,4,447,9,65,521
Lynn,7,1,"1,079",29,231,"1,339"
Lynn,7,2,930,21,193,"1,144"
Lynn,7,3,603,12,127,742
Lynn,7,4,703,14,139,856
Nahant,-,1,"1,607",14,480,"2,101"
TOTALS,,,"8,948",191,"1,872","11,011"
