City/Town,Ward,Pct,"Patricia A. Haddad","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dighton,-,1,"1,059",21,447,"1,527"
Dighton,-,2,"1,238",30,475,"1,743"
Somerset,-,1,"1,191",0,375,"1,566"
Somerset,-,2,"1,255",1,373,"1,629"
Somerset,-,3,"1,284",0,338,"1,622"
Somerset,-,4,"1,105",0,315,"1,420"
Somerset,-,5,"1,016",1,304,"1,321"
Swansea,-,1,973,47,376,"1,396"
Swansea,-,2,971,20,306,"1,297"
Swansea,-,3,933,19,293,"1,245"
Taunton,6,A,547,9,166,722
Taunton,6,B,815,18,287,"1,120"
TOTALS,,,"12,387",166,"4,055","16,608"
