City/Town,Ward,Pct,"William C. Galvin","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,463",0,487,"1,950"
Canton,-,1,"1,295",9,362,"1,666"
Canton,-,2,"1,497",11,472,"1,980"
Canton,-,3,"1,309",19,393,"1,721"
Canton,-,4,"1,550",9,591,"2,150"
Canton,-,5,"1,439",3,456,"1,898"
Canton,-,6,"1,288",7,368,"1,663"
Stoughton,-,1,"1,237",2,387,"1,626"
Stoughton,-,5,922,4,320,"1,246"
Stoughton,-,7,957,5,279,"1,241"
Stoughton,-,8,843,18,227,"1,088"
TOTALS,,,"13,800",87,"4,342","18,229"
