City/Town,Ward,Pct,"Denise Provost","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Somerville,2,2,"1,781",19,161,"1,961"
Somerville,2,3,"1,650",16,224,"1,890"
Somerville,3,1,"1,531",15,138,"1,684"
Somerville,3,2,"1,516",22,182,"1,720"
Somerville,3,3,"1,826",23,210,"2,059"
Somerville,5,1,"1,582",24,201,"1,807"
Somerville,5,2,"1,804",19,233,"2,056"
Somerville,5,3,"1,910",18,217,"2,145"
Somerville,6,1,"2,052",26,209,"2,287"
Somerville,6,2,"1,857",16,246,"2,119"
Somerville,6,3,"1,015",20,108,"1,143"
TOTALS,,,"18,524",218,"2,129","20,871"
