City/Town,Ward,Pct,"Joseph D. Mckenna","All Others",Blanks,"Total Votes Cast"
,,,Republican
Douglas,-,1,"1,102",0,294,"1,396"
Douglas,-,2,"1,011",0,362,"1,373"
Douglas,-,3,933,0,269,"1,202"
Oxford,-,1,"1,090",25,302,"1,417"
Oxford,-,4,976,25,301,"1,302"
Sutton,-,1,"1,243",0,462,"1,705"
Sutton,-,2,"1,157",1,385,"1,543"
Sutton,-,3,"1,083",7,360,"1,450"
Webster,-,1,705,23,223,951
Webster,-,2,446,28,158,632
Webster,-,3,791,16,204,"1,011"
Webster,-,4,"1,345",24,308,"1,677"
Webster,-,5,959,20,254,"1,233"
TOTALS,,,"12,841",169,"3,882","16,892"
