City/Town,Ward,Pct,"Daniel H. Cahill","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,3,"1,039",26,264,"1,329"
Lynn,1,4,962,25,242,"1,229"
Lynn,2,1,"1,225",24,311,"1,560"
Lynn,2,2,700,11,127,838
Lynn,2,3,498,8,77,583
Lynn,2,4,487,6,60,553
Lynn,3,1,843,11,196,"1,050"
Lynn,3,2,705,15,132,852
Lynn,3,3,766,26,142,934
Lynn,4,1,312,5,37,354
Lynn,4,2,417,6,48,471
Lynn,5,2,332,3,36,371
Lynn,5,3,417,5,62,484
TOTALS,,,"8,703",171,"1,734","10,608"
