City/Town,Ward,Pct,"Jack Patrick Lewis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,193",0,314,"1,507"
Ashland,-,2,"1,279",0,382,"1,661"
Ashland,-,3,"1,197",0,335,"1,532"
Ashland,-,4,"1,144",0,351,"1,495"
Ashland,-,5,"1,261",0,363,"1,624"
Framingham,-,8,"1,354",22,286,"1,662"
Framingham,-,13,918,212,21,"1,151"
Framingham,-,14,595,12,112,719
Framingham,-,16,362,4,54,420
Framingham,-,17,391,3,32,426
Framingham,-,18,632,9,125,766
TOTALS,,,"10,326",262,"2,375","12,963"
