City/Town,Ward,Pct,"Jose F. Tosado","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,5,A,807,15,203,"1,025"
Springfield,2,A,363,10,42,415
Springfield,2,B,706,17,114,837
Springfield,2,C,414,13,40,467
Springfield,2,D,585,10,93,688
Springfield,2,F,571,13,88,672
Springfield,2,G,682,23,132,837
Springfield,5,C,481,11,84,576
Springfield,5,D,704,15,195,914
Springfield,5,G,789,24,200,"1,013"
Springfield,5,H,623,18,135,776
Springfield,7,F,811,13,199,"1,023"
Springfield,7,H,401,9,85,495
Springfield,8,A,538,13,103,654
Springfield,8,B,553,8,91,652
Springfield,8,D,314,6,59,379
Springfield,8,H,531,8,58,597
TOTALS,,,"9,873",226,"1,921","12,020"
