City/Town,Ward,Pct,"Steven Ultrino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,2,1,811,12,114,937
Malden,2,2,908,18,161,"1,087"
Malden,3,1,"1,085",26,222,"1,333"
Malden,4,1,753,13,145,911
Malden,4,2,640,20,120,780
Malden,5,1,910,20,138,"1,068"
Malden,6,1,"1,030",29,218,"1,277"
Malden,6,2,949,24,201,"1,174"
Malden,7,2,804,28,138,970
Malden,8,1,953,26,198,"1,177"
Malden,8,2,885,15,191,"1,091"
TOTALS,,,"9,728",231,"1,846","11,805"
