City/Town,Ward,Pct,"Maria D. Robinson","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Framingham,-,1,"1,488",26,449,"1,963"
Framingham,-,2,"1,805",41,488,"2,334"
Framingham,-,4,"1,579",26,410,"2,015"
Framingham,-,5,"1,381",35,431,"1,847"
Framingham,-,6,"1,437",34,401,"1,872"
Framingham,-,7,"1,316",22,347,"1,685"
Framingham,-,9,928,25,230,"1,183"
Framingham,-,10,741,10,110,861
Framingham,-,11,"1,552",25,460,"2,037"
Framingham,-,12,717,18,185,920
Framingham,-,15,726,15,139,880
TOTALS,,,"13,670",277,"3,650","17,597"
