City/Town,Ward,Pct,"David Biele","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,15,2,0,0,2
Boston,6,1,"2,691",53,561,"3,305"
Boston,6,2,651,13,151,815
Boston,6,3,934,11,195,"1,140"
Boston,6,4,915,18,208,"1,141"
Boston,6,5,886,15,179,"1,080"
Boston,6,6,771,8,171,950
Boston,6,7,894,13,170,"1,077"
Boston,6,8,769,20,175,964
Boston,6,9,697,15,188,900
Boston,7,1,699,10,174,883
Boston,7,2,898,20,192,"1,110"
Boston,7,3,"1,005",12,242,"1,259"
Boston,7,4,774,14,177,965
Boston,7,5,774,5,141,920
Boston,7,6,645,12,127,784
Boston,7,7,410,2,82,494
Boston,7,8,573,8,111,692
Boston,13,3,528,8,102,638
TOTALS,,,"15,516",257,"3,346","19,119"
