City/Town,Ward,Pct,"Danielle W. Gregoire","Paul R. Ferro","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Marlborough,2,1,653,459,1,35,"1,148"
Marlborough,3,1,464,243,1,24,732
Marlborough,3,2,946,511,3,48,"1,508"
Marlborough,4,1,380,198,0,32,610
Marlborough,4,2,773,495,1,41,"1,310"
Marlborough,5,1,452,201,2,19,674
Marlborough,5,2,694,387,0,26,"1,107"
Marlborough,6,1,500,271,0,32,803
Marlborough,6,2,759,530,3,58,"1,350"
Marlborough,7,2,566,376,1,32,975
Northborough,-,1,"1,166",697,4,83,"1,950"
Northborough,-,3,"1,139",726,2,81,"1,948"
Westborough,-,1,735,331,3,45,"1,114"
Westborough,-,3,"1,076",482,0,62,"1,620"
TOTALS,,,"10,303","5,907",21,618,"16,849"
