City/Town,Ward,Pct,"William ""Smitty"" Pignatelli","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Alford,-,1,243,0,18,261
Becket,-,1,625,15,165,805
Blandford,-,1,387,2,215,604
Egremont,-,1,700,0,93,793
"Great Barrington",-,A,781,3,83,867
"Great Barrington",-,B,760,3,106,869
"Great Barrington",-,C,580,3,42,625
"Great Barrington",-,D,766,9,101,876
Lee,-,1,"2,233",13,337,"2,583"
Lenox,-,1,"2,390",21,326,"2,737"
Monterey,-,1,417,0,52,469
"Mount Washington",-,1,89,0,8,97
"New Marlborough",-,1,665,1,113,779
Otis,-,1,554,3,180,737
Richmond,-,1,776,10,83,869
Russell,-,1,455,2,237,694
Sandisfield,-,1,296,0,78,374
Sheffield,-,1,"1,400",3,215,"1,618"
Stockbridge,-,1,955,2,173,"1,130"
Tolland,-,1,175,0,86,261
Tyringham,-,1,219,1,41,261
Washington,-,1,253,1,46,300
"W. Stockbridge",-,1,723,7,83,813
TOTALS,,,"16,442",99,"2,881","19,422"
