City/Town,Ward,Pct,"Daniel M. Donahue","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,5,1,608,10,89,707
Worcester,5,2,980,21,194,"1,195"
Worcester,5,4,"1,032",19,289,"1,340"
Worcester,5,5,991,26,242,"1,259"
Worcester,6,1,400,3,50,453
Worcester,6,2,591,10,87,688
Worcester,6,3,646,17,112,775
Worcester,6,4,353,5,71,429
Worcester,6,5,854,23,180,"1,057"
Worcester,8,1,400,6,60,466
Worcester,8,5,517,12,91,620
TOTALS,,,"7,372",152,"1,465","8,989"
