City/Town,Ward,Pct,"Claire D. Cronin","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,1,A,655,2,92,749
Brockton,1,B,907,4,229,"1,140"
Brockton,1,C,791,0,183,974
Brockton,1,D,"1,163",0,326,"1,489"
Brockton,3,D,"1,002",1,277,"1,280"
Brockton,7,C,750,2,143,895
Brockton,7,D,840,3,201,"1,044"
Easton,-,1,709,6,294,"1,009"
Easton,-,2,"1,427",14,580,"2,021"
Easton,-,3,"1,180",9,441,"1,630"
Easton,-,4,"1,382",9,568,"1,959"
Easton,-,5,"1,530",11,607,"2,148"
TOTALS,,,"12,336",61,"3,941","16,338"
