City/Town,Ward,Pct,"Michael J. Finn","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,2,A,589,15,113,717
Chicopee,3,A,708,22,187,917
Chicopee,4,A,750,15,174,939
Springfield,2,E,591,14,100,705
"W. Springfield",-,1,399,2,104,505
"W. Springfield",-,2,568,1,144,713
"W. Springfield",-,3,788,4,275,"1,067"
"W. Springfield",-,4,917,3,326,"1,246"
"W. Springfield",-,5,"1,250",8,525,"1,783"
"W. Springfield",-,6,"1,107",5,489,"1,601"
"W. Springfield",-,7,"1,143",13,549,"1,705"
"W. Springfield",-,8,709,3,275,987
TOTALS,,,"9,519",105,"3,261","12,885"
