City/Town,Ward,Pct,"James K. Hawkins","Julie A. Hall","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Attleboro,1,A,597,531,0,3,"1,131"
Attleboro,1,B,578,544,0,30,"1,152"
Attleboro,2,A,848,630,2,48,"1,528"
Attleboro,2,B,876,644,0,33,"1,553"
Attleboro,3,A,791,526,0,18,"1,335"
Attleboro,4,A,660,367,1,36,"1,064"
Attleboro,4,B,"1,024",823,0,45,"1,892"
Attleboro,5,A,513,251,0,0,764
Attleboro,5,B,876,497,0,31,"1,404"
Attleboro,6,A,681,506,1,31,"1,219"
Attleboro,6,B,827,586,3,42,"1,458"
TOTALS,,,"8,271","5,905",7,317,"14,500"
