City/Town,Ward,Pct,"Alan Silvia","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,B,554,7,168,729
"Fall River",1,C,568,7,187,762
"Fall River",2,A,435,0,91,526
"Fall River",2,B,388,12,90,490
"Fall River",2,C,472,0,132,604
"Fall River",3,A,685,2,131,818
"Fall River",3,B,576,5,137,718
"Fall River",3,C,643,13,145,801
"Fall River",4,A,425,0,117,542
"Fall River",4,B,378,5,71,454
"Fall River",4,C,446,3,95,544
"Fall River",5,A,282,0,69,351
TOTALS,,,"5,852",54,"1,433","7,339"
