City/Town,Ward,Pct,"Kenneth I. Gordon","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,473",25,393,"1,891"
Bedford,-,2,"1,258",26,391,"1,675"
Bedford,-,3,"1,358",19,388,"1,765"
Bedford,-,4,"1,197",19,379,"1,595"
Burlington,-,1,"1,285",31,542,"1,858"
Burlington,-,2,843,24,287,"1,154"
Burlington,-,3,"1,119",27,489,"1,635"
Burlington,-,4,"1,065",29,420,"1,514"
Burlington,-,5,"1,287",29,538,"1,854"
Burlington,-,6,"1,210",24,520,"1,754"
Burlington,-,7,"1,225",26,472,"1,723"
Wilmington,-,3,"1,225",24,536,"1,785"
TOTALS,,,"14,545",303,"5,355","20,203"
