City/Town,Ward,Pct,"Marjorie C. Decker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,4,1,"1,456",7,148,"1,611"
Cambridge,4,2,"1,535",9,188,"1,732"
Cambridge,4,3,471,4,70,545
Cambridge,6,2,"1,338",9,194,"1,541"
Cambridge,6,3,"1,488",12,216,"1,716"
Cambridge,7,1,"1,470",6,181,"1,657"
Cambridge,7,2,770,9,112,891
Cambridge,7,3,441,3,49,493
Cambridge,8,1,"1,011",13,129,"1,153"
Cambridge,8,2,"1,031",8,175,"1,214"
Cambridge,8,3,275,0,38,313
Cambridge,10,1,"1,695",7,214,"1,916"
Cambridge,10,2,"1,707",5,210,"1,922"
TOTALS,,,"14,688",92,"1,924","16,704"
