City/Town,Ward,Pct,"John J. Lawn, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,1,858,12,266,"1,136"
Newton,1,4,919,16,326,"1,261"
Waltham,4,2,294,3,86,383
Waltham,5,1,"1,151",10,318,"1,479"
Waltham,6,2,621,5,156,782
Waltham,7,2,391,9,92,492
Waltham,8,1,947,19,190,"1,156"
Waltham,8,2,"1,059",9,228,"1,296"
Waltham,9,1,733,11,159,903
Waltham,9,2,780,7,150,937
Watertown,-,10,"1,444",29,276,"1,749"
Watertown,-,11,962,14,234,"1,210"
Watertown,-,12,919,7,197,"1,123"
TOTALS,,,"11,078",151,"2,678","13,907"
