City/Town,Ward,Pct,"Frank A. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,2,"1,378",19,548,"1,945"
Andover,-,3,"1,434",18,445,"1,897"
Andover,-,4,"1,312",28,524,"1,864"
Lawrence,C,1,445,6,42,493
Lawrence,C,2,675,18,96,789
Lawrence,C,3,433,2,42,477
Lawrence,D,1,572,10,97,679
Lawrence,D,2,500,12,56,568
Lawrence,D,3,406,6,61,473
Lawrence,D,4,400,8,48,456
Lawrence,E,1,880,21,208,"1,109"
Methuen,-,2,635,6,75,716
TOTALS,,,"9,070",154,"2,242","11,466"
