City/Town,Ward,Pct,"Chynah Tyler","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,8,600,8,129,737
Boston,4,9,345,0,44,389
Boston,4,10,299,3,32,334
Boston,5,2A,477,9,82,568
Boston,9,4,740,7,101,848
Boston,9,5,881,6,139,"1,026"
Boston,12,1,720,11,116,847
Boston,12,2,841,6,117,964
Boston,12,3,428,3,51,482
Boston,12,4,465,7,50,522
Boston,12,5,307,3,50,360
Boston,12,8,326,0,54,380
Boston,21,1,889,8,125,"1,022"
TOTALS,,,"7,318",71,"1,090","8,479"
