City/Town,Ward,Pct,"David M. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,2,"1,012",1,230,"1,243"
Arlington,-,4,933,4,183,"1,120"
Arlington,-,8,"1,019",7,245,"1,271"
Arlington,-,10,997,2,228,"1,227"
Arlington,-,12,"1,109",0,258,"1,367"
Belmont,-,1,"1,303",7,345,"1,655"
Belmont,-,2,"1,242",28,464,"1,734"
Belmont,-,3,"1,242",14,322,"1,578"
Belmont,-,4,"1,101",15,280,"1,396"
Belmont,-,5,"1,219",10,323,"1,552"
Belmont,-,6,"1,318",20,342,"1,680"
Belmont,-,7,"1,325",15,268,"1,608"
Belmont,-,8,"1,280",10,498,"1,788"
Cambridge,11,1,"1,292",4,138,"1,434"
Cambridge,11,3,"1,446",5,231,"1,682"
TOTALS,,,"17,838",142,"4,355","22,335"
