City/Town,Ward,Pct,"Marcos A. Devers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lawrence,A,2,430,12,39,481
Lawrence,A,4,565,18,71,654
Lawrence,B,1,611,15,109,735
Lawrence,B,2,444,16,49,509
Lawrence,B,3,493,18,69,580
Lawrence,B,4,670,24,108,802
Lawrence,C,4,546,7,77,630
Lawrence,E,2,821,31,165,"1,017"
Lawrence,E,3,500,21,63,584
Lawrence,E,4,571,18,82,671
Lawrence,F,2,458,10,54,522
Lawrence,F,3,464,12,63,539
Lawrence,F,4,468,9,66,543
TOTALS,,,"7,041",211,"1,015","8,267"
