City/Town,Ward,Pct,"Paul McMurtry","John G. Mcdonald","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dedham,-,1,"1,297",371,1,116,"1,785"
Dedham,-,2,"1,227",479,2,100,"1,808"
Dedham,-,3,"1,127",317,1,73,"1,518"
Dedham,-,4,"1,175",470,3,96,"1,744"
Dedham,-,5,"1,242",524,0,90,"1,856"
Dedham,-,6,"1,309",481,3,101,"1,894"
Dedham,-,7,"1,201",537,4,92,"1,834"
Walpole,-,8,794,663,0,101,"1,558"
Westwood,-,1,"1,233",736,5,134,"2,108"
Westwood,-,2,"1,233",767,1,144,"2,145"
Westwood,-,3,"1,172",773,1,158,"2,104"
Westwood,-,4,"1,036",786,0,112,"1,934"
TOTALS,,,"14,046","6,904",21,"1,317","22,288"
