City/Town,Ward,Pct,"Jennifer E. Benson","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,3,"1,553",13,352,"1,918"
Acton,-,4,"1,672",12,307,"1,991"
Acton,-,5,"1,539",6,358,"1,903"
Ayer,-,2,"1,298",39,420,"1,757"
Boxborough,-,1,"2,146",0,605,"2,751"
Harvard,-,1,"2,541",26,805,"3,372"
Lunenburg,-,A,"1,059",26,334,"1,419"
Lunenburg,-,C,"1,001",49,365,"1,415"
Lunenburg,-,D,951,28,301,"1,280"
Shirley,-,1,"1,978",11,819,"2,808"
TOTALS,,,"15,738",210,"4,666","20,614"
