City/Town,Ward,Pct,"Steven S. Howitt","All Others",Blanks,"Total Votes Cast"
,,,Republican
Norton,-,1,"1,246",20,462,"1,728"
Norton,-,2,"1,222",21,457,"1,700"
Rehoboth,-,1,"1,330",0,410,"1,740"
Rehoboth,-,2,"1,315",0,390,"1,705"
Rehoboth,-,3,"1,424",0,404,"1,828"
Seekonk,-,1,"1,120",23,247,"1,390"
Seekonk,-,2,"1,330",47,371,"1,748"
Seekonk,-,3,"1,188",35,316,"1,539"
Seekonk,-,4,"1,095",20,315,"1,430"
Swansea,-,4,"1,018",22,326,"1,366"
Swansea,-,5,"1,011",21,322,"1,354"
TOTALS,,,"13,299",209,"4,020","17,528"
