City/Town,Ward,Pct,"John J. Mahoney, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,1,1,"1,388",33,346,"1,767"
Worcester,1,2,"1,396",32,400,"1,828"
Worcester,1,3,794,16,260,"1,070"
Worcester,1,4,"1,465",25,318,"1,808"
Worcester,3,2,299,2,50,351
Worcester,9,1,"1,006",22,227,"1,255"
Worcester,9,2,"1,249",18,291,"1,558"
Worcester,9,3,839,8,234,"1,081"
Worcester,9,4,"1,239",30,296,"1,565"
Worcester,9,5,"1,198",24,344,"1,566"
Worcester,10,1,530,7,99,636
TOTALS,,,"11,403",217,"2,865","14,485"
