City/Town,Ward,Pct,"Gerard J. Cassidy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,2,A,504,0,72,576
Brockton,2,B,500,0,65,565
Brockton,2,C,459,0,66,525
Brockton,2,D,692,1,139,832
Brockton,3,A,741,0,122,863
Brockton,3,B,629,0,109,738
Brockton,3,C,"1,065",0,262,"1,327"
Brockton,4,A,427,1,75,503
Brockton,4,D,821,6,232,"1,059"
Brockton,5,A,635,5,103,743
Brockton,7,A,594,0,100,694
Brockton,7,B,888,1,151,"1,040"
TOTALS,,,"7,955",14,"1,496","9,465"
