City/Town,Ward,Pct,"Aaron M. Michlewitz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,1,"1,585",24,338,"1,947"
Boston,3,2,781,8,182,971
Boston,3,3,949,12,152,"1,113"
Boston,3,4,"1,088",15,178,"1,281"
Boston,3,6,"2,082",33,558,"2,673"
Boston,3,7,"2,023",20,339,"2,382"
Boston,3,8,"2,326",33,651,"3,010"
Boston,4,1,"1,052",10,205,"1,267"
Boston,4,3,700,12,141,853
Boston,5,1,"1,913",25,530,"2,468"
TOTALS,,,"14,499",192,"3,274","17,965"
