City/Town,Ward,Pct,"David M. Nangle","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,4,"1,212",13,494,"1,719"
Lowell,1,1,494,1,130,625
Lowell,1,2,"1,402",1,424,"1,827"
Lowell,1,3,"1,187",0,328,"1,515"
Lowell,2,3,"1,011",1,283,"1,295"
Lowell,4,2,384,12,127,523
Lowell,4,3,413,0,142,555
Lowell,10,1,580,0,181,761
Lowell,10,2,359,0,119,478
Lowell,10,3,318,0,68,386
Lowell,11,1,725,0,135,860
Lowell,11,2,745,0,241,986
Lowell,11,3,759,0,214,973
TOTALS,,,"9,589",28,"2,886","12,503"
