City/Town,Ward,Pct,"Michael J. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,21,2,283,0,28,311
Boston,21,4,538,4,59,601
Boston,21,13,861,22,313,"1,196"
Boston,21,14,608,7,67,682
Boston,21,16,776,13,160,949
Boston,22,1,908,9,146,"1,063"
Boston,22,4,699,16,135,850
Boston,22,5,520,9,100,629
Boston,22,7,873,14,148,"1,035"
Boston,22,8,535,25,157,717
Boston,22,11,533,10,121,664
Boston,22,12,504,15,120,639
Boston,22,13,540,10,100,650
Brookline,-,1,"1,285",6,264,"1,555"
TOTALS,,,"9,463",160,"1,918","11,541"
