City/Town,Ward,Pct,"Adrian C. Madaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,733,12,123,868
Boston,1,2,500,6,75,581
Boston,1,3,"1,166",16,167,"1,349"
Boston,1,4,461,2,71,534
Boston,1,5,570,7,109,686
Boston,1,6,483,13,86,582
Boston,1,7,502,5,84,591
Boston,1,8,670,9,100,779
Boston,1,9,511,9,74,594
Boston,1,10,309,7,54,370
Boston,1,11,694,8,149,851
Boston,1,12,664,19,143,826
Boston,1,13,821,10,165,996
Boston,1,14,351,14,85,450
TOTALS,,,"8,435",137,"1,485","10,057"
