City/Town,Ward,Pct,"Paul J. Donato, Sr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,1,1,727,19,98,844
Malden,1,2,930,25,186,"1,141"
Malden,3,2,"1,245",19,257,"1,521"
Malden,7,1,785,13,99,897
Medford,1,1,"1,248",17,216,"1,481"
Medford,1,2,"1,293",20,247,"1,560"
Medford,2,1,"1,301",20,291,"1,612"
Medford,2,2,"1,480",33,317,"1,830"
Medford,3,1,"1,444",18,359,"1,821"
Medford,7,2,"1,245",21,219,"1,485"
Medford,8,1,"1,428",29,323,"1,780"
TOTALS,,,"13,126",234,"2,612","15,972"
