City/Town,Ward,Pct,"David Paul Linsky","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Natick,-,1,"1,057",9,284,"1,350"
Natick,-,2,"1,556",10,495,"2,061"
Natick,-,3,"1,572",16,516,"2,104"
Natick,-,4,"1,514",12,459,"1,985"
Natick,-,5,"1,601",18,500,"2,119"
Natick,-,6,"1,509",13,487,"2,009"
Natick,-,7,"1,888",12,523,"2,423"
Natick,-,8,"1,698",21,534,"2,253"
Natick,-,9,"1,759",12,493,"2,264"
Natick,-,10,"1,934",27,619,"2,580"
Wayland,-,2,"1,557",29,532,"2,118"
Wayland,-,3,"1,496",23,514,"2,033"
TOTALS,,,"19,141",202,"5,956","25,299"
