City/Town,Ward,Pct,"Frank A. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,2,"1,491",19,594,"2,104"
Andover,-,3,"1,704",24,592,"2,320"
Andover,-,4,847,10,403,"1,260"
Lawrence,C,1,589,10,141,740
Lawrence,C,2,723,23,178,924
Lawrence,C,3,490,12,108,610
Lawrence,C,4,502,23,154,679
Lawrence,D,1,806,39,168,"1,013"
Lawrence,D,2,624,29,163,816
Lawrence,D,3,386,9,108,503
Lawrence,D,4,691,18,111,820
Lawrence,E,1,"1,017",26,284,"1,327"
TOTALS,,,"9,870",242,"3,004","13,116"
