City/Town,Ward,Pct,"Lindsay N. Sabadosa","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chesterfield,-,1,633,0,203,836
Cummington,-,1,464,0,123,587
Goshen,-,1,503,3,165,671
Hatfield,-,1,"1,719",12,520,"2,251"
Northampton,1,A,971,6,176,"1,153"
Northampton,1,B,"1,159",10,148,"1,317"
Northampton,2,A,876,2,120,998
Northampton,2,B,734,1,89,824
Northampton,3,A,"1,054",10,202,"1,266"
Northampton,3,B,"1,060",181,4,"1,245"
Northampton,4,A,864,4,123,991
Northampton,4,B,"1,127",4,196,"1,327"
Northampton,5,A,952,1,171,"1,124"
Northampton,5,B,"1,169",4,142,"1,315"
Northampton,6,A,"1,242",6,300,"1,548"
Northampton,6,B,"1,272",4,243,"1,519"
Northampton,7,A,"1,041",5,210,"1,256"
Northampton,7,B,"1,089",3,240,"1,332"
Plainfield,-,1,325,0,107,432
Westhampton,-,1,934,12,302,"1,248"
Williamsburg,-,1,"1,499",3,331,"1,833"
Worthington,-,1,661,4,213,878
TOTALS,,,"21,348",275,"4,328","25,951"
