City/Town,Ward,Pct,"John J. Lawn, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,1,"1,016",31,380,"1,427"
Newton,1,2A,52,1,22,75
Newton,1,4,"1,078",27,381,"1,486"
Newton,3,1A,0,0,0,0
Newton,3,4,"1,072",18,475,"1,565"
Waltham,1,2A,11,0,5,16
Waltham,3,2A,25,0,11,36
Waltham,4,1A,28,0,5,33
Waltham,4,2,275,0,89,364
Waltham,5,1,"1,105",0,427,"1,532"
Waltham,5,2A,135,0,35,170
Waltham,6,2,704,0,259,963
Waltham,8,2,"1,137",0,362,"1,499"
Waltham,9,1,"1,013",0,259,"1,272"
Waltham,9,2,838,0,248,"1,086"
Watertown,-,9,983,0,309,"1,292"
Watertown,-,10,"1,328",8,329,"1,665"
Watertown,-,11,"1,256",1,368,"1,625"
Watertown,-,12,"1,152",0,356,"1,508"
TOTALS,,,"13,208",86,"4,320","17,614"
