City/Town,Ward,Pct,"Bradley H. Jones, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Lynnfield,-,1,"1,502",0,489,"1,991"
Lynnfield,-,2,"1,553",0,508,"2,061"
Lynnfield,-,3,"1,487",0,524,"2,011"
Lynnfield,-,4,"1,631",0,473,"2,104"
Middleton,-,1,"1,730",27,566,"2,323"
Middleton,-,3,"1,541",23,493,"2,057"
"N. Reading",-,1,"1,855",5,609,"2,469"
"N. Reading",-,2,"1,843",10,792,"2,645"
"N. Reading",-,3,"1,825",14,600,"2,439"
"N. Reading",-,4,"1,892",13,578,"2,483"
Reading,-,1,"1,551",0,706,"2,257"
Reading,-,7,"1,393",0,720,"2,113"
Reading,-,8,"1,337",0,677,"2,014"
TOTALS,,,"21,140",92,"7,735","28,967"
