City/Town,Ward,Pct,"Aaron M. Michlewitz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,1,"1,078",28,244,"1,350"
Boston,3,2,"1,085",22,294,"1,401"
Boston,3,3,712,15,142,869
Boston,3,4,801,20,156,977
Boston,3,6,700,6,198,904
Boston,3,8,861,21,244,"1,126"
Boston,3,10,"1,202",22,245,"1,469"
Boston,3,11,897,11,208,"1,116"
Boston,3,12,992,20,268,"1,280"
Boston,3,13,671,11,238,920
Boston,3,13A,0,0,0,0
Boston,3,14,763,13,262,"1,038"
Boston,3,15,902,15,203,"1,120"
Boston,4,1,874,12,234,"1,120"
Boston,5,1,533,11,181,725
Boston,5,13,827,14,273,"1,114"
Boston,5,14,762,13,197,972
TOTALS,,,"13,660",254,"3,587","17,501"
