City/Town,Ward,Pct,"Hannah E. Kane","All Others",Blanks,"Total Votes Cast"
,,,Republican
Shrewsbury,-,1,"1,816",12,509,"2,337"
Shrewsbury,-,2,"1,504",13,466,"1,983"
Shrewsbury,-,3,"1,206",12,378,"1,596"
Shrewsbury,-,4,"1,680",27,496,"2,203"
Shrewsbury,-,5,"1,449",8,424,"1,881"
Shrewsbury,-,6,"1,523",12,520,"2,055"
Shrewsbury,-,7,"1,729",18,532,"2,279"
Shrewsbury,-,8,"1,835",10,635,"2,480"
Shrewsbury,-,9,"1,123",9,356,"1,488"
Shrewsbury,-,10,"1,457",25,464,"1,946"
Westborough,-,4,"1,071",32,385,"1,488"
TOTALS,,,"16,393",178,"5,165","21,736"
