City/Town,Ward,Pct,"Joseph D. Mckenna","All Others",Blanks,"Total Votes Cast"
,,,Republican
Douglas,-,1,"1,497",0,430,"1,927"
Douglas,-,2,"1,576",0,458,"2,034"
Douglas,-,3,"1,504",0,408,"1,912"
Oxford,-,1,"1,579",5,416,"2,000"
Oxford,-,4,"1,387",9,425,"1,821"
Sutton,-,1,"1,609",15,525,"2,149"
Sutton,-,2,"1,611",11,491,"2,113"
Sutton,-,3,"1,620",21,464,"2,105"
Uxbridge,-,1,"1,734",24,530,"2,288"
Webster,-,1,734,22,180,936
Webster,-,1A,376,9,102,487
Webster,-,2,802,30,237,"1,069"
Webster,-,3,"1,197",23,295,"1,515"
Webster,-,4,"1,924",29,442,"2,395"
Webster,-,5,"1,394",22,395,"1,811"
TOTALS,,,"20,544",220,"5,798","26,562"
