City/Town,Ward,Pct,"Sally P. Kerans","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Danvers,-,1,"1,521",0,531,"2,052"
Danvers,-,2,"1,455",10,635,"2,100"
Danvers,-,3,"1,341",11,555,"1,907"
Danvers,-,4,"1,460",7,641,"2,108"
Danvers,-,5,"1,481",19,659,"2,159"
Danvers,-,6,"1,551",16,766,"2,333"
Danvers,-,7,"1,505",22,633,"2,160"
Danvers,-,8,"1,173",16,527,"1,716"
Middleton,-,2,858,49,559,"1,466"
Peabody,6,1,"1,290",57,759,"2,106"
Peabody,6,2,"1,201",41,647,"1,889"
Peabody,6,3,"1,315",64,760,"2,139"
Topsfield,-,2,"1,377",36,653,"2,066"
Wenham,-,1A,"1,218",17,446,"1,681"
TOTALS,,,"18,746",365,"8,771","27,882"
