City/Town,Ward,Pct,"Rita A. Mendes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brockton,1,A,914,1,123,"1,038"
Brockton,2,A,667,6,105,778
Brockton,2,B,825,0,141,966
Brockton,2,C,565,0,117,682
Brockton,2,D,965,1,166,"1,132"
Brockton,3,A,"1,009",1,217,"1,227"
Brockton,3,B,769,2,165,936
Brockton,7,A,831,2,126,959
Brockton,7,B,"1,132",9,185,"1,326"
Brockton,7,C,939,4,162,"1,105"
Brockton,7,D,"1,095",3,233,"1,331"
TOTALS,,,"9,711",29,"1,740","11,480"
