City/Town,Ward,Pct,"Paul K. Frost","Terry Burke Dotson","All Others",Blanks,"Total Votes Cast"
,,,Republican,Unenrolled
Auburn,-,1,"1,308",524,6,157,"1,995"
Auburn,-,2,"1,380",490,6,134,"2,010"
Auburn,-,3,"1,432",551,10,153,"2,146"
Auburn,-,4,"1,329",561,11,139,"2,040"
Auburn,-,5,"1,316",423,5,138,"1,882"
Charlton,-,4,"1,287",561,4,160,"2,012"
Leicester,-,3,"1,045",449,1,122,"1,617"
Millbury,-,1,"1,124",671,4,149,"1,948"
Millbury,-,2,"1,404",673,2,130,"2,209"
Millbury,-,3,"1,221",711,6,145,"2,083"
Millbury,-,4,"1,137",678,2,101,"1,918"
Oxford,-,2,"1,225",485,0,121,"1,831"
Oxford,-,3,"1,242",540,1,143,"1,926"
Oxford,-,4A,22,8,0,2,32
TOTALS,,,"16,472","7,325",58,"1,794","25,649"
