City/Town,Ward,Pct,"Jonathan D. Zlotnik","Bruce K. Chester","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashburnham,-,1,993,860,1,92,"1,946"
Ashburnham,-,2,"1,066",785,3,93,"1,947"
Gardner,1,A,644,431,0,40,"1,115"
Gardner,1,B,332,307,1,22,662
Gardner,2,A,542,460,2,34,"1,038"
Gardner,2,B,565,549,1,38,"1,153"
Gardner,3,A,446,396,1,33,876
Gardner,3,B,600,418,1,34,"1,053"
Gardner,4,A,488,368,0,36,892
Gardner,4,B,391,325,0,37,753
Gardner,5,A,403,383,0,28,814
Gardner,5,B,597,492,2,42,"1,133"
Templeton,-,A,784,903,3,73,"1,763"
Templeton,-,B,674,757,3,73,"1,507"
Templeton,-,C,644,672,3,50,"1,369"
Winchendon,-,2,812,891,0,91,"1,794"
Winchendon,-,3,831,885,4,95,"1,815"
TOTALS,,,"10,812","9,882",25,911,"21,630"
