City/Town,Ward,Pct,"Colleen M. Garry","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dracut,-,1,"1,277",0,387,"1,664"
Dracut,-,2,"1,281",0,432,"1,713"
Dracut,-,3,"1,385",0,505,"1,890"
Dracut,-,4,"1,658",0,736,"2,394"
Dracut,-,5,"1,455",0,541,"1,996"
Dracut,-,6,"1,317",0,414,"1,731"
Dracut,-,6A,64,0,18,82
Dracut,-,7,"1,307",0,482,"1,789"
Dracut,-,8,"1,712",0,689,"2,401"
Dracut,-,9,"1,463",0,499,"1,962"
Tyngsborough,-,1,"1,347",0,539,"1,886"
Tyngsborough,-,2,"1,297",0,541,"1,838"
Tyngsborough,-,3,"1,245",0,503,"1,748"
Tyngsborough,-,4,"1,513",0,607,"2,120"
TOTALS,,,"18,321",0,"6,893","25,214"
