City/Town,Ward,Pct,"Tricia Farley-Bouvier","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Pittsfield,1,A,876,12,224,"1,112"
Pittsfield,1,B,"1,169",5,376,"1,550"
Pittsfield,2,A,655,8,178,841
Pittsfield,2,B,"1,197",5,403,"1,605"
Pittsfield,3,A,"1,348",11,388,"1,747"
Pittsfield,3,B,"1,420",12,456,"1,888"
Pittsfield,4,A,"1,371",13,412,"1,796"
Pittsfield,4,B,"1,524",11,514,"2,049"
Pittsfield,5,A,"1,077",9,341,"1,427"
Pittsfield,5,B,"1,221",12,423,"1,656"
Pittsfield,6,A,"1,164",9,334,"1,507"
Pittsfield,6,B,835,10,240,"1,085"
Pittsfield,7,A,778,13,251,"1,042"
Pittsfield,7,B,"1,261",11,369,"1,641"
TOTALS,,,"15,896",141,"4,909","20,946"
