City/Town,Ward,Pct,"Kristin E. Kassner","Mark T. Tashjian","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Georgetown,-,1,789,"1,033",0,84,"1,906"
Georgetown,-,2,770,930,2,94,"1,796"
Georgetown,-,3,799,995,1,78,"1,873"
Hamilton,-,1,"1,394",919,0,132,"2,445"
Hamilton,-,2,"1,380",891,0,123,"2,394"
Ipswich,-,1,"1,386",734,1,107,"2,228"
Ipswich,-,2,"1,436",871,3,141,"2,451"
Ipswich,-,3,"1,264","1,085",3,136,"2,488"
Ipswich,-,4,"1,340","1,021",1,104,"2,466"
Newbury,-,1,"1,293",954,1,207,"2,455"
Newbury,-,2,"1,243","1,082",2,119,"2,446"
Rowley,-,1,"1,815","2,081",5,219,"4,120"
Topsfield,-,1,"1,154",966,0,142,"2,262"
TOTALS,,,"16,063","13,562",19,"1,686","31,330"
