City/Town,Ward,Pct,"Michael J. Moran","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,21,2,259,1,39,299
Boston,21,4,461,9,107,577
Boston,21,13,919,21,412,"1,352"
Boston,21,14,578,3,107,688
Boston,21,16,852,15,246,"1,113"
Boston,22,1,997,34,229,"1,260"
Boston,22,4,768,24,180,972
Boston,22,5,756,11,188,955
Boston,22,7,882,16,222,"1,120"
Boston,22,8,600,20,167,787
Boston,22,11,606,11,146,763
Boston,22,12,632,14,183,829
Boston,22,13,559,15,104,678
Cambridge,1,2A,33,0,5,38
Cambridge,5,2,247,2,62,311
TOTALS,,,"9,149",196,"2,397","11,742"
